"FileName","CsharpFunction","PowerShellFunction"
"RequestHistoryProperties.cs","public RequestHistoryProperties(System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), Request request = default(Request), Response response = default(Response))","public RequestHistoryProperties(System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), Request request = default(Request), Response response = default(Response))"
"RetryHistory.cs","public RetryHistory(System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), string code = default(string), string clientRequestId = default(string), string serviceRequestId = default(string), ErrorResponse error = default(ErrorResponse))","public RetryHistory(System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), string code = default(string), string clientRequestId = default(string), string serviceRequestId = default(string), ErrorResponse error = default(ErrorResponse))"
"TrackingEvent.cs","public TrackingEvent(EventLevel eventLevel, System.DateTime eventTime, string recordType, TrackingEventErrorInfo error = default(TrackingEventErrorInfo))","public TrackingEvent(EventLevel eventLevel, System.DateTimeOffset eventTime, string recordType, TrackingEventErrorInfo error = default(TrackingEventErrorInfo))"
"Workflow.cs","public Workflow(string id = default(string), string name = default(string), string type = default(string), string location = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), string provisioningState = default(string), System.DateTime? createdTime = default(System.DateTime?), System.DateTime? changedTime = default(System.DateTime?), string state = default(string), string version = default(string), string accessEndpoint = default(string), Sku sku = default(Sku), ResourceReference integrationAccount = default(ResourceReference), object definition = default(object), System.Collections.Generic.IDictionary<string, WorkflowParameter> parameters = default(System.Collections.Generic.IDictionary<string, WorkflowParameter>))","public Workflow(string id = default(string), string name = default(string), string type = default(string), string location = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), Sku sku = default(Sku), string provisioningState = default(string), System.DateTimeOffset? createdTime = default(System.DateTimeOffset?), System.DateTimeOffset? changedTime = default(System.DateTimeOffset?), string state = default(string), string version = default(string), string accessEndpoint = default(string), ResourceReference integrationAccount = default(ResourceReference), object definition = default(object), System.Collections.Generic.IDictionary<string, WorkflowParameter> parameters = default(System.Collections.Generic.IDictionary<string, WorkflowParameter>))"
"WorkflowRun.cs","public WorkflowRun(string id = default(string), System.DateTime? waitEndTime = default(System.DateTime?), System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), string status = default(string), string code = default(string), object error = default(object), string correlationId = default(string), Correlation correlation = default(Correlation), ResourceReference workflow = default(ResourceReference), WorkflowRunTrigger trigger = default(WorkflowRunTrigger), System.Collections.Generic.IDictionary<string, WorkflowOutputParameter> outputs = default(System.Collections.Generic.IDictionary<string, WorkflowOutputParameter>), WorkflowRunTrigger response = default(WorkflowRunTrigger), string name = default(string), string type = default(string))","public WorkflowRun(string id = default(string), string name = default(string), string type = default(string), Correlation correlation = default(Correlation), System.DateTimeOffset? waitEndTime = default(System.DateTimeOffset?), System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), string status = default(string), string code = default(string), object error = default(object), string correlationId = default(string), ResourceReference workflow = default(ResourceReference), WorkflowRunTrigger trigger = default(WorkflowRunTrigger), System.Collections.Generic.IDictionary<string, WorkflowOutputParameter> outputs = default(System.Collections.Generic.IDictionary<string, WorkflowOutputParameter>), WorkflowRunTrigger response = default(WorkflowRunTrigger))"
"WorkflowRunAction.cs","public WorkflowRunAction(string id = default(string), System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), string status = default(string), string code = default(string), object error = default(object), string trackingId = default(string), Correlation correlation = default(Correlation), ContentLink inputsLink = default(ContentLink), ContentLink outputsLink = default(ContentLink), object trackedProperties = default(object), System.Collections.Generic.IList<RetryHistory> retryHistory = default(System.Collections.Generic.IList<RetryHistory>), string name = default(string), string type = default(string))","public WorkflowRunAction(string id = default(string), string name = default(string), string type = default(string), Correlation correlation = default(Correlation), System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), string status = default(string), string code = default(string), object error = default(object), string trackingId = default(string), ContentLink inputsLink = default(ContentLink), ContentLink outputsLink = default(ContentLink), object trackedProperties = default(object), System.Collections.Generic.IList<RetryHistory> retryHistory = default(System.Collections.Generic.IList<RetryHistory>))"
"WorkflowRunActionRepetitionDefinition.cs","public WorkflowRunActionRepetitionDefinition(string id = default(string), string name = default(string), string type = default(string), string location = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), RunActionCorrelation correlation = default(RunActionCorrelation), string status = default(string), string code = default(string), object error = default(object), string trackingId = default(string), object inputs = default(object), ContentLink inputsLink = default(ContentLink), object outputs = default(object), ContentLink outputsLink = default(ContentLink), object trackedProperties = default(object), System.Collections.Generic.IList<RetryHistory> retryHistory = default(System.Collections.Generic.IList<RetryHistory>), int? iterationCount = default(int?), System.Collections.Generic.IList<RepetitionIndex> repetitionIndexes = default(System.Collections.Generic.IList<RepetitionIndex>))","public WorkflowRunActionRepetitionDefinition(string id = default(string), string name = default(string), string type = default(string), string location = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), RunActionCorrelation correlation = default(RunActionCorrelation), string status = default(string), string code = default(string), object error = default(object), string trackingId = default(string), object inputs = default(object), ContentLink inputsLink = default(ContentLink), object outputs = default(object), ContentLink outputsLink = default(ContentLink), object trackedProperties = default(object), System.Collections.Generic.IList<RetryHistory> retryHistory = default(System.Collections.Generic.IList<RetryHistory>), int? iterationCount = default(int?), System.Collections.Generic.IList<RepetitionIndex> repetitionIndexes = default(System.Collections.Generic.IList<RepetitionIndex>))"
"WorkflowRunTrigger.cs","public WorkflowRunTrigger(string name = default(string), object inputs = default(object), ContentLink inputsLink = default(ContentLink), object outputs = default(object), ContentLink outputsLink = default(ContentLink), System.DateTime? scheduledTime = default(System.DateTime?), System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), string trackingId = default(string), Correlation correlation = default(Correlation), string code = default(string), string status = default(string), object error = default(object), object trackedProperties = default(object))","public WorkflowRunTrigger(string name = default(string), object inputs = default(object), ContentLink inputsLink = default(ContentLink), object outputs = default(object), ContentLink outputsLink = default(ContentLink), System.DateTimeOffset? scheduledTime = default(System.DateTimeOffset?), System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), string trackingId = default(string), Correlation correlation = default(Correlation), string code = default(string), string status = default(string), object error = default(object), object trackedProperties = default(object))"
"WorkflowTrigger.cs","public WorkflowTrigger(string id = default(string), string provisioningState = default(string), System.DateTime? createdTime = default(System.DateTime?), System.DateTime? changedTime = default(System.DateTime?), string state = default(string), string status = default(string), System.DateTime? lastExecutionTime = default(System.DateTime?), System.DateTime? nextExecutionTime = default(System.DateTime?), WorkflowTriggerRecurrence recurrence = default(WorkflowTriggerRecurrence), ResourceReference workflow = default(ResourceReference), string name = default(string), string type = default(string))","public WorkflowTrigger(string id = default(string), string name = default(string), string type = default(string), string provisioningState = default(string), System.DateTimeOffset? createdTime = default(System.DateTimeOffset?), System.DateTimeOffset? changedTime = default(System.DateTimeOffset?), string state = default(string), string status = default(string), System.DateTimeOffset? lastExecutionTime = default(System.DateTimeOffset?), System.DateTimeOffset? nextExecutionTime = default(System.DateTimeOffset?), WorkflowTriggerRecurrence recurrence = default(WorkflowTriggerRecurrence), ResourceReference workflow = default(ResourceReference))"
"WorkflowTriggerHistory.cs","public WorkflowTriggerHistory(string id = default(string), System.DateTime? startTime = default(System.DateTime?), System.DateTime? endTime = default(System.DateTime?), string status = default(string), string code = default(string), object error = default(object), string trackingId = default(string), Correlation correlation = default(Correlation), ContentLink inputsLink = default(ContentLink), ContentLink outputsLink = default(ContentLink), bool? fired = default(bool?), ResourceReference run = default(ResourceReference), string name = default(string), string type = default(string))","public WorkflowTriggerHistory(string id = default(string), string name = default(string), string type = default(string), Correlation correlation = default(Correlation), System.DateTimeOffset? startTime = default(System.DateTimeOffset?), System.DateTimeOffset? endTime = default(System.DateTimeOffset?), string status = default(string), string code = default(string), object error = default(object), string trackingId = default(string), ContentLink inputsLink = default(ContentLink), ContentLink outputsLink = default(ContentLink), bool? fired = default(bool?), ResourceReference run = default(ResourceReference))"
"WorkflowVersion.cs","public WorkflowVersion(string id = default(string), string name = default(string), string type = default(string), string location = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), System.DateTime? createdTime = default(System.DateTime?), System.DateTime? changedTime = default(System.DateTime?), string state = default(string), string version = default(string), string accessEndpoint = default(string), Sku sku = default(Sku), ResourceReference integrationAccount = default(ResourceReference), object definition = default(object), System.Collections.Generic.IDictionary<string, WorkflowParameter> parameters = default(System.Collections.Generic.IDictionary<string, WorkflowParameter>))","public WorkflowVersion(string id = default(string), string name = default(string), string type = default(string), string location = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), Sku sku = default(Sku), System.DateTimeOffset? createdTime = default(System.DateTimeOffset?), System.DateTimeOffset? changedTime = default(System.DateTimeOffset?), string state = default(string), string version = default(string), string accessEndpoint = default(string), ResourceReference integrationAccount = default(ResourceReference), object definition = default(object), System.Collections.Generic.IDictionary<string, WorkflowParameter> parameters = default(System.Collections.Generic.IDictionary<string, WorkflowParameter>))"
